〖ZQ/总期〗9397〖-ZQ/总期〗
〖RQ/日期〗19831003〖-RQ/日期〗
〖BH/版号〗03〖-BH/版号〗
〖TH/条号〗2〖-TH/条号〗
〖BT/标题〗第五届全运会各代表团获奖牌数〖-BT/标题〗
〖GJ/关键〗五届全运会/成绩〖-GJ/关键〗
〖TC/体裁〗公文〖-TC/体裁〗
〖ZW/正文〗
    代表团 金 银  铜
    广东    36 25 24.5
    上海    33 35 30
    辽宁    22 18 21
    北京   17 24 22
    解放军   16  28 20
    江苏    13 17 11
    浙江    11  15 10
    广西    11 12  6
    山西    11 9  9
    福建   11 5  10
    四川    10 4  8
    江西    9  5  8
    黑龙江  9  3   10.5
    湖北    8  7   16
    内蒙古   8  7  7
    安徽    7  6  6
    代表团   金  银   铜
    天津   6  5  11
    吉林    6 4   4
    河北    5 8  11
    新疆   5 5  8
    山东   4  10  12
    云南   4  7  2
    青海   4  6   3
    河南   3  7  3
    湖南   3 4  2
    陕西   3  0  4
    火车头  1  1  1
    甘肃    1 0  0
    宁夏    0 1   1
    西藏  0  1   0
    贵州   0  0   1
    （新华社）
〖-ZW/正文〗
