〖ZQ/总期〗19315〖-ZQ/总期〗
〖RQ/日期〗20101128〖-RQ/日期〗
〖BH/版号〗12〖-BH/版号〗
〖TH/条号〗2〖-TH/条号〗
〖BT/标题〗广州亚运会最终奖牌榜〖-BT/标题〗
〖FL/分类〗G811.233〖-FL/分类〗
〖BM/版名〗亚运特刊〖-BM/版名〗
〖TC/体裁〗其它体裁〖-TC/体裁〗
〖ZW/正文〗
    代表团 金 银 铜
    中国 199 119 98
    韩国 76 65 91
    日本 48 74 94
    伊朗 20 14 25
    哈萨克斯坦 18 23 38
    印度 14 17 33
    中华台北 13 16 38
    乌兹别克斯坦 11 22 23
    泰国 11 9 32
    马来西亚 9 18 14
    中国香港 8 15 17
    朝鲜 6 10 20
    沙特阿拉伯 5 3 5
    巴林 5 0 4
    印度尼西亚 4 9 13
    新加坡 4 7 6
    科威特 4 6 1
    卡塔尔 4 5 7
    菲律宾 3 4 9
    巴基斯坦 3 2 3
    蒙古国 2 5 9
    缅甸 2 5 3
    约旦 2 2 2
    越南 1 17 15
    吉尔吉斯斯坦 1 2 2
    中国澳门 1 1 4
    孟加拉国 1 1 1
    塔吉克斯坦 1 0 3
    叙利亚 1 0 1
    阿联酋 0 4 1
    阿富汗 0 2 1
    伊拉克 0 1 2
    黎巴嫩 0 1 2
    老挝 0 0 2
    尼泊尔 0 0 1
    阿曼 0 0 1
〖-ZW/正文〗
