〖ZQ/总期〗18514〖-ZQ/总期〗
〖RQ/日期〗20080918〖-RQ/日期〗
〖BH/版号〗12〖-BH/版号〗
〖TH/条号〗2〖-TH/条号〗
〖BT/标题〗奖牌榜〖-BT/标题〗
〖FL/分类〗G811.22〖-FL/分类〗
〖BM/版名〗残奥特刊〖-BM/版名〗
〖TC/体裁〗其它体裁〖-TC/体裁〗
〖ZW/正文〗
    金 银 铜 总数
    中国 89 70 52 211
    英国 42 29 31 102
    美国 36 35 28 99
    乌克兰 24 18 32 74
    澳大利亚 23 29 27 79
    南非 21 3 6 30
    加拿大 19 10 21 50
    俄罗斯 18 23 22 63
    巴西 16 14 17 47
    西班牙 15 21 22 58
    德国 14 25 20 59
    法国 12 21 19 52
    韩国 10 8 13 31
    墨西哥 10 3 7 20
    突尼斯 9 9 3 21
    捷克 6 3 18 27
    日本 5 14 8 27
    波兰 5 12 13 30
    荷兰 5 10 7 22
    希腊 5 9 10 24
    白俄罗斯 5 7 1 13
    伊朗 5 6 3 14
    古巴 5 3 6 14
    新西兰 5 3 4 12
    瑞典 5 3 4 12
    中国香港 5 3 3 11
    肯尼亚 5 3 1 9
    意大利 4 7 7 18
    埃及 4 4 4 12
    尼日利亚 4 4 1 9
    阿尔及利亚 4 3 8 15
    摩洛哥 4 1 2 7
    奥地利 4 1 1 6
    瑞士 3 2 6 11
    丹麦 3 2 4 9
    爱尔兰 3 1 1 5
    克罗地亚 3 1 0 4
    阿塞拜疆 2 3 5 10
    斯洛伐克 2 3 1 6
    芬兰 2 2 2 6
    泰国 1 5 7 13
    葡萄牙 1 4 2 7
    挪威 1 3 3 7
    塞浦路斯 1 2 1 4
    拉脱维亚 1 2 0 3
    新加坡 1 1 2 4
    委内瑞拉 1 1 2 4
    沙特 1 1 0 2
    匈牙利 1 0 5 6
    中华台北 1 0 1 2
    土耳其 1 0 1 2
    蒙古 1 0 0 1
    以色列 0 5 1 6
    安哥拉 0 3 0 3
    约旦 0 2 2 4
    立陶宛 0 2 0 2
    塞尔维亚 0 2 0 2
    阿根廷 0 1 5 6
    斯洛文尼亚 0 1 2 3
    保加利亚 0 1 1 2
    哥伦比亚 0 1 1 2
    伊拉克 0 1 1 2
    波黑 0 1 0 1
    巴基斯坦 0 1 0 1
    巴布亚新几内亚 0 1 0 1
    罗马尼亚 0 1 0 1
    阿联酋 0 1 0 1
    黎巴嫩 0 0 2 2
    比利时 0 0 1 1
    爱沙尼亚 0 0 1 1
    牙买加 0 0 1 1
    老挝 0 0 1 1
    马来西亚 0 0 1 1
    纳米比亚 0 0 1 1
    波多黎各 0 0 1 1
    叙利亚 0 0 1 1
    （据新华社）
〖-ZW/正文〗
