〖ZQ/总期〗17454〖-ZQ/总期〗
〖RQ/日期〗20051024〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗6〖-TH/条号〗
〖BT/标题〗第十届全运会最终奖牌总分统计〖-BT/标题〗
〖FT/副题〗（奖牌榜按金牌总数统计）〖-FT/副题〗
〖FL/分类〗G812.20〖-FL/分类〗
〖LM/栏目〗十运特刊〖-LM/栏目〗
〖BM/版名〗十运特刊〖-BM/版名〗
〖TC/体裁〗其它体裁〖-TC/体裁〗
〖ZW/正文〗
    （奖牌榜按金牌总数统计）
    名次 代表团 金牌 银牌 铜牌 总计
    1 江苏 56 38 42 136
    2 广东 46 42.5 36.5 125
    3 解放军 44 39 32 115
    4 山东 42 29 27 98
    5 北京 32 23.5 26 81.5
    6 辽宁 31 35 33 99
    7 浙江 29 20 12 61
    8 上海 26 48 44.5 118.5
    9 福建 17 12 14 43
    10 黑龙江 16 17 8.5 41.5
    11 天津 15.5 13.5 11 40
    12 河南 15.5 7 18.5 41
    13 河北 15 9 11 35
    14 湖南 13 12 8 33
    15 四川 12 17 19 48
    16 江西 12 6 2 20
    17 吉林 10 17 11.5 38.5
    18 山西 10 5 5 20
    19 安徽 7 5 7 19
    20 湖北 7 4.5 8 19.5
    21 广西 6 8 8 22
    22 云南 5.5 8 8.5 22
    23 陕西 3 7.5 8.5 19
    24 甘肃 2 4 1 7
    25 火车头 2 1 1 4
    26 新疆 1.5 2.5 6.5 10.5
    27 内蒙古 1 4.5 10 15.5
    28 重庆 1 3 0.5 4.5
    29 海南 1 1 4 6
    30 贵州 1 0.5 3.5 5
    31 香港 1 0 3 4
    32 前卫 1 0 2 3
    33 宁夏 0 1.5 0.5 2
    34 新疆兵团 0 1 0.5 1.5
    35 煤矿 0 1 0 1
    36 青海 0 0 2 2
    37 通信 0 0 1 1
    总计 482 443.5 437 1362.5
    名次 代表团 总积分
    1 江苏 2829.25
    2 广东 2736.5
    3 上海 2105.7
    4 山东 2102.2
    5 解放军 2038.5
    6 辽宁 1867
    7 北京 1667.45
    8 四川 1326.25
    9 浙江 1291
    10 河北 1109.5
    11 福建 1063.5
    12 河南 985.75
    13 黑龙江 933
    14 天津 867.5
    15 吉林 711.5
    16 湖南 679.5
    17 湖北 574.5
    18 广西 508.5
    19 山西 503
    20 云南 483.25
    21 陕西 471.5
    22 江西 459.5
    23 安徽 453.5
    24 内蒙古 379.5
    25 重庆 350
    26 新疆 243
    27 甘肃 210
    28 香港 186
    29 贵州 159.25
    30 海南 128
    31 宁夏 112
    32 火车头 85
    33 前卫 79.5
    34 青海 70
    35 西藏 54.5
    36 煤矿 47
    37 通信 37
    38 新疆兵团 31.5
    39 水利 27
    40 石化 15
    41 林业 14
    42 澳门 14
    43 电力 6.5
    （据新华社）
〖-ZW/正文〗
