〖ZQ/总期〗19940〖-ZQ/总期〗
〖RQ/日期〗20120814〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗6〖-TH/条号〗
〖BT/标题〗奥运奖牌榜〖-BT/标题〗
〖FL/分类〗G811.211〖-FL/分类〗
〖LM/栏目〗英伦风云〖-LM/栏目〗
〖BM/版名〗英伦风云〖-BM/版名〗
〖TC/体裁〗其它体裁〖-TC/体裁〗
〖ZW/正文〗
〖TM/中图〗
〖BH/版号〗04〖-BH/版号〗
〖WJ/文件〗201208140406.T01〖-WJ/文件〗
〖-TM/中图〗
    代表团 金牌 银牌 铜牌 总数
    美国 46 29 29 104
    中国 38 27 23 88
    英国 29 17 19 65
    俄罗斯 24 26 32 82
    韩国 13 8 7 28
    德国 11 19 14 44
    法国 11 11 12 34
    意大利 8 9 11 28
    匈牙利 8 4 5 17
    澳大利亚 7 16 12 35
    日本 7 14 17 38
    哈萨克斯坦 7 1 5 13
    荷兰 6 6 8 20
    乌克兰 6 5 9 20
    新西兰 6 2 5 13
    古巴 5 3 6 14
    伊朗 4 5 3 12
    牙买加 4 4 4 12
    捷克 4 3 3 10
    朝鲜 4 0 2 6
    西班牙 3 10 4 17
    巴西 3 5 9 17
    南非 3 2 1 6
    埃塞俄比亚 3 1 3 7
    克罗地亚 3 1 2 6
    白俄罗斯 2 5 5 12
    罗马尼亚 2 5 2 9
    肯尼亚 2 4 5 11
    丹麦 2 4 3 9
    阿塞拜疆 2 2 6 10
    波兰 2 2 6 10
    土耳其 2 2 1 5
    瑞士 2 2 0 4
    立陶宛 2 1 2 5
    挪威 2 1 1 4
    加拿大 1 5 12 18
    瑞典 1 4 3 8
    哥伦比亚 1 3 4 8
    格鲁吉亚 1 3 3 7
    墨西哥 1 3 3 7
    爱尔兰 1 1 3 5
    阿根廷 1 1 2 4
    斯洛文尼亚 1 1 2 4
    塞尔维亚 1 1 2 4
    突尼斯 1 1 1 3
    多米尼加 1 1 0 2
    特立尼达和多巴哥 1 0 3 4
    乌兹别克斯坦 1 0 3 4
    拉脱维亚 1 0 1 2
    阿尔及利亚 1 0 0 1
    巴哈马 1 0 0 1
    格林纳达 1 0 0 1
    乌干达 1 0 0 1
    委内瑞拉 1 0 0 1
    印度 0 2 4 6
    蒙古国 0 2 3 5
    泰国 0 2 1 3
    埃及 0 2 0 2
    斯洛伐克 0 1 3 4
    亚美尼亚 0 1 2 3
    比利时 0 1 2 3
    芬兰 0 1 2 3
    保加利亚 0 1 1 2
    爱沙尼亚 0 1 1 2
    印度尼西亚 0 1 1 2
    马来西亚 0 1 1 2
    波多黎各 0 1 1 2
    中华台北 0 1 1 2
    博茨瓦纳 0 1 0 1
    塞浦路斯 0 1 0 1
    加蓬 0 1 0 1
    危地马拉 0 1 0 1
    黑山 0 1 0 1
    葡萄牙 0 1 0 1
    希腊 0 0 2 2
    摩尔多瓦 0 0 2 2
    卡塔尔 0 0 2 2
    新加坡 0 0 2 2
    阿富汗 0 0 1 1
    巴林 0 0 1 1
    中国香港 0 0 1 1
    沙特阿拉伯 0 0 1 1
    科威特 0 0 1 1
    摩洛哥 0 0 1 1
    塔吉克斯坦 0 0 1 1
    （新华社伦敦8月12日电）
〖-ZW/正文〗
