〖ZQ/总期〗17872〖-ZQ/总期〗
〖RQ/日期〗20061216〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗7〖-TH/条号〗
〖BT/标题〗奖牌榜〖-BT/标题〗
〖FL/分类〗G811.233〖-FL/分类〗
〖LM/栏目〗鏖战多哈〖-LM/栏目〗
〖BM/版名〗时事新闻/体育〖-BM/版名〗
〖TC/体裁〗其他体裁〖-TC/体裁〗
〖ZW/正文〗
    （比赛最终结果统计）
    1
    国家/地区 金 银 铜 总数
    中国 165 88 63 316
    韩国 58 53 82 193
    日本 50 71 77 198
    哈萨克斯坦 23 19 43 85
    泰国 13 15 26 54
    伊朗 11 15 22 48
    乌兹别克斯坦 11 14 14 39
    印度 10 18 26 54
    卡塔尔 9 12 11 32
    中国台北 9 10 27 46
    马来西亚 8 17 17 42
    新加坡 8 7 12 27
    沙特阿拉伯 8 0 6 14
    巴林 7 10 4 21
    中国香港 6 12 10 28
    朝鲜 6 9 16 31
    科威特 6 5 2 13
    菲律宾 4 6 9 19
    越南 3 13 7 23
    阿联酋 3 4 3 10
    蒙古 2 5 8 15
    印度尼西亚 2 3 15 20
    叙利亚 2 1 3 6
    塔吉克斯坦 2 0 2 4
    约旦 1 3 4 8
    黎巴嫩 1 0 2 3
    ■本报记者范江怀 李东航
〖-ZW/正文〗
