〖ZQ/总期〗14577〖-ZQ/总期〗
〖RQ/日期〗19971208〖-RQ/日期〗
〖BH/版号〗05〖-BH/版号〗
〖TH/条号〗8〖-TH/条号〗
〖BT/标题〗全国足球甲A联赛积分榜〖-BT/标题〗
〖ZZ/作者〗DW：〖-ZZ/作者〗
〖LM/栏目〗国际·体育 体育〖-LM/栏目〗
〖GJ/关键〗RW：〖-GJ/关键〗
〖TC/体裁〗其它〖-TC/体裁〗
〖ZW/正文〗
    队名    轮次   胜  平   负   积分
    大连万达  18   14 4   0   46
    上海申花  19   9  6   4   33
    北京国安  19   7  9   3   30
    延边敖东  19   7  5   7   26
    济南泰山  19   6  7   6   25
    前卫寰岛  19   6  5   8   23
    四川全兴  19   5  7   7   22
    青岛海牛  19   5  6   8   21
    天津三星  19   4  8   7   20
    广州太阳神 19   4  8   7   20
    八一    19   3  9   7   18
    广东宏远  18   4  4   10  16
〖-ZW/正文〗
