〖ZQ/总期〗17035〖-ZQ/总期〗
〖RQ/日期〗20040831〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗4〖-TH/条号〗
〖BT/标题〗奥运会奖牌榜〖-BT/标题〗
〖FL/分类〗G811.211〖-FL/分类〗
〖LM/栏目〗奥运专刊/聚焦爱琴海〖-LM/栏目〗
〖BM/版名〗奥运专版〖-BM/版名〗
〖TC/体裁〗其它体裁〖-TC/体裁〗
〖ZW/正文〗
    （最终统计）
    名次 国家和地区 金牌 银牌 铜牌 合计
    1 美国 35 39 29 103
    2 中国 32 17 14 63
    3 俄罗斯 27 27 38 92
    4 澳大利亚 17 16 16 49
    5 日本 16 9 12 37
    6 德国 14 16 18 48
    7 法国 11 9 13 33
    8 意大利 10 11 11 32
    9 韩国 9 12 9 30
    10 英国 9 9 12 30
    11 古巴 9 7 11 27
    12 乌克兰 9 5 9 23
    13 匈牙利 8 6 3 17
    14 罗马尼亚 8 5 6 19
    15 希腊 6 6 4 16
    16 挪威 5 0 1 6
    17 荷兰 4 9 9 22
    18 巴西 4 3 3 10
    19 瑞典 4 1 2 7
    20 西班牙 3 11 5 19
    21 加拿大 3 6 3 12
    22 土耳其 3 3 4 10
    23 波兰 3 2 5 10
    24 新西兰 3 2 0 5
    25 泰国 3 1 4 8
    26 白俄罗斯 2 6 7 15
    27 奥地利 2 4 1 7
    28 埃塞俄比亚 2 3 2 7
    29 伊朗 2 2 2 6
    29 斯洛伐克 2 2 2 6
    31 中国台北 2 2 1 5
    32 格鲁吉亚 2 2 0 4
    33 保加利亚 2 1 9 12
    34 牙买加 2 1 2 5
    34 乌兹别克斯坦 2 1 2 5
    36 摩洛哥 2 1 0 3
    37 丹麦 2 0 6 8
    38 阿根廷 2 0 4 6
    39 智利 2 0 1 3
    40 哈萨克斯坦 1 4 3 8
    41 肯尼亚 1 4 2 7
    42 捷克 1 3 4 8
    43 南非 1 3 2 6
    44 克罗地亚 1 2 2 5
    45 立陶宛 1 2 0 3
    46 埃及 1 1 3 5
    46 瑞士 1 1 3 5
    48 印度尼西亚 1 1 2 4
    49 津巴布韦 1 1 1 3
    50 阿塞拜疆 1 0 4 5
    51 比利时 1 0 2 3
    52 巴哈马 1 0 1 2
    52 以色列 1 0 1 2
    54 喀麦隆 1 0 0 1
    54 多米尼加 1 0 0 1
    54 爱尔兰 1 0 0 1
    54 阿联酋 1 0 0 1
    58 朝鲜 0 4 1 5
    59 拉脱维亚 0 4 0 4
    60 墨西哥 0 3 1 4
    61 葡萄牙 0 2 1 3
    62 芬兰 0 2 0 2
    62 塞黑 0 2 0 2
    64 斯洛文尼亚 0 1 3 4
    65 爱沙尼亚 0 1 2 3
    66 中国香港 0 1 0 1
    66 印度 0 1 0 1
    66 巴拉圭 0 1 0 1
    69 尼日利亚 0 0 2 2
    69 委内瑞拉 0 0 2 2
    71 哥伦比亚 0 0 1 1
    71 厄立特里亚 0 0 1 1
    71 蒙古 0 0 1 1
    71 叙利亚 0 0 1 1
    71 特立尼达和多巴哥0 0 1 1
〖-ZW/正文〗
