〖ZQ/总期〗9701〖-ZQ/总期〗
〖RQ/日期〗19840802〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗11〖-TH/条号〗
〖BT/标题〗奥运会奖牌统计（到7月31日为止）〖-BT/标题〗
〖LM/栏目〗第23届夏季奥运会〖-LM/栏目〗
〖GJ/关键〗夏季奥运会/23届/奖牌统计情况〖-GJ/关键〗
〖TC/体裁〗公文〖-TC/体裁〗
〖ZW/正文〗
    国家和地区 金牌 银牌 铜牌
    美国 16 7 1
    中国 5 3 3
    加拿大 3 3 1
    联邦德国 3 1 4
    意大利 1 1 0
    澳大利亚 0 2 4
    法国 0 2 1
    英国 0 1 3
    荷兰 0 1 3
    瑞典 0 1 1
    巴西 0 1 0
    罗马尼亚 0 1 0
    哥伦比亚 0 1 0
    秘鲁 0 1 0
    日本 0 0 3
    中国台北 0 0 1
    比利时 0 0 1
    挪威 0 0 1
〖-ZW/正文〗
