〖ZQ/总期〗14584〖-ZQ/总期〗
〖RQ/日期〗19971215〖-RQ/日期〗
〖BH/版号〗05〖-BH/版号〗
〖TH/条号〗6〖-TH/条号〗
〖BT/标题〗足球甲A联赛积分榜（第20轮）〖-BT/标题〗
〖ZZ/作者〗DW：〖-ZZ/作者〗
〖LM/栏目〗国际·体育 体育〖-LM/栏目〗
〖GJ/关键〗RW：〖-GJ/关键〗
〖TC/体裁〗其它〖-TC/体裁〗
〖ZW/正文〗
    队名   胜  平  负  积分
    万达   15 5  0  50
    申花   9  7  4  34
    国安   7  10 3  31
    延边   8  5  7  29
    前卫   7  5  8  26
    全兴   6  7  7  25
    泰山   6  7  7  25
    海牛   5  6  9  21
    太阳神  4  9  7  21
    八一   4  9  7  21
    三星   4  8  8  20
    宏远   4  4  12 16
〖-ZW/正文〗
