〖ZQ/总期〗14570〖-ZQ/总期〗
〖RQ/日期〗19971201〖-RQ/日期〗
〖BH/版号〗05〖-BH/版号〗
〖TH/条号〗7〖-TH/条号〗
〖BT/标题〗甲A联赛积分榜〖-BT/标题〗
〖ZZ/作者〗DW：〖-ZZ/作者〗
〖LM/栏目〗国际·体育 体育〖-LM/栏目〗
〖GJ/关键〗RW：〖-GJ/关键〗
〖TC/体裁〗其它〖-TC/体裁〗
〖ZW/正文〗
    队名  轮次  胜 平  负 积分
    大连  16 13 3  0 42
    北京  18  7 8  3 29
    上海  17  8 6  4 29
    延边  17  6 5  6 23
    济南  17  6 5  6 23
    四川  17  5 6  6 21
    青岛  18  5 6  7 21
    前卫  17  5 5  7 20
    广州  17  4 7  6 19
    天津  17  3 7  7 16
    八一  17  3 7  7 16
    广东  16  4 2 10 14
〖-ZW/正文〗
