〖ZQ/总期〗9538〖-ZQ/总期〗
〖RQ/日期〗19840221〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗11〖-TH/条号〗
〖BT/标题〗第十四届冬季奥运会奖牌统计〖-BT/标题〗
〖LM/栏目〗体育场〖-LM/栏目〗
〖GJ/关键〗冬季奥运会/14届/成绩报告〖-GJ/关键〗
〖TC/体裁〗新华社通讯〖-TC/体裁〗
〖ZW/正文〗
    新华社2月19日电 第十四届冬季奥运会经过十三天比赛，三十九个单项决赛全部结束，各队获得奖牌数如下：
    队名     金牌 银牌 铜牌
    民主德国   9   9  6
    苏联     6  10  9
    美国     4   4  0
    芬兰     4   3  6
    瑞典     4   2  2
    挪威     3   2  4
    瑞士     2   2  1
    加拿大    2   1  1
    联邦德国   2   1  1
    意大利    2   0  0
    英国     1   0  0
    捷克斯洛伐克 0   2  4
    法国     0   1  2
    日本     0   1  0
    南斯拉夫   0   1  0
    列支敦士登  0   0  2
    奥地利    0   0  1
〖-ZW/正文〗
