〖ZQ/总期〗13927〖-ZQ/总期〗
〖RQ/日期〗19960227〖-RQ/日期〗
〖BH/版号〗05〖-BH/版号〗
〖TH/条号〗14〖-TH/条号〗
〖BT/标题〗全国男篮联赛积分表〖-BT/标题〗
〖LM/栏目〗体育〖-LM/栏目〗
〖GJ/关键〗男篮积分表〖-GJ/关键〗
〖TC/体裁〗其他〖-TC/体裁〗
〖ZW/正文〗
    比赛队  场次  胜场  负场  积分
    八一   20  20   0  40
    辽宁   20  18   2  38
    北京   20  16   4  36
    广东宏远 20  16   4  36
    山东   20  11   9  31
    浙江中欣 20   8  12  28
    济南军区 20   8  12  28
    沈阳军区 20   7  13  27
    江苏   20   6  14  26
    空军   20   6  14  26
    南京军区 20   3  17  23
    前卫   20   1  19  21
〖-ZW/正文〗
