〖ZQ/总期〗17829〖-ZQ/总期〗
〖RQ/日期〗20061103〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗4〖-TH/条号〗
〖BT/标题〗中国与非洲国家建交时间〖-BT/标题〗
〖FL/分类〗D822〖-FL/分类〗
〖LM/栏目〗友谊 和平 合作 发展〖-LM/栏目〗
〖BM/版名〗专版〖-BM/版名〗
〖TC/体裁〗其他体裁〖-TC/体裁〗
〖ZW/正文〗
    1
    国家 建交时间
    埃及 1956.05.30
    摩洛哥 1958.11.01
    阿尔及利亚 1958.12.20
    苏丹 1959.02.04
    几内亚 1959.10.04
    加纳 1960.07.05
    马里 1960.10.25
    索马里 1960.12.14
    刚果（金） 1961.02.20
    乌干达 1962.10.18
    肯尼亚 1963.12.14
    布隆迪 1963.12.21
    突尼斯 1964.01.10
    刚果（布） 1964.02.22
    坦桑尼亚 1964.04.26
    中非 1964.09.29
    赞比亚 1964.10.29
    贝宁 1964.11.12
    毛里塔尼亚 1965.07.19
    赤道几内亚 1970.10.15
    埃塞俄比亚 1970.11.24
    尼日利亚 1971.02.10
    喀麦隆 1971.03.26
    塞拉利昂 1971.07.29
    卢旺达 1971.11.12
    塞内加尔 1971.12.07
    毛里求斯 1972.04.15
    多哥 1972.09.19
    马达加斯加 1972.11.06
    乍得 1972.11.28
    几内亚比绍 1974.03.15
    加蓬 1974.04.20
    尼日尔 1974.07.20
    博茨瓦纳 1975.01.06
    莫桑比克 1975.06.25
    科摩罗 1975.11.13
    佛得角 1976.04.25
    塞舌尔 1976.06.30
    利比里亚 1977.02.17
    利比亚 1978.08.09
    吉布提 1979.01.08
    津巴布韦 1980.04.18
    安哥拉 1983.01.12
    科特迪瓦 1983.03.02
    莱索托 1983.04.30
    纳米比亚 1990.03.22
    厄立特里亚 1993.05.24
    南非 1998.01.01
〖-ZW/正文〗
