〖ZQ/总期〗9063〖-ZQ/总期〗
〖RQ/日期〗19821103〖-RQ/日期〗
〖BH/版号〗03〖-BH/版号〗
〖TH/条号〗2〖-TH/条号〗
〖BT/标题〗超过百万人口的少数民族〖-BT/标题〗
〖LM/栏目〗祖国四方〖-LM/栏目〗
〖GJ/关键〗少数民族人口〖-GJ/关键〗
〖TC/体裁〗资料〖-TC/体裁〗
〖ZW/正文〗
    壮 族 13，378，162人
    回 族  7，219，352人
    维吾尔族  5，957，112人
    彝 族  5，453，448人
    苗 族  5，030，897人
    满 族  4，299，159人
    藏 族  3，870，068人
    蒙 古 族  3，411，657人
    土 家 族  2，832，743人
    布 依 族  2，120，469人
    朝 鲜 族  1，763，870人
    侗 族  1，425，100人
    瑶 族  1，402，676人
    白 族  1，131，124人
    哈 尼 族  1，058，836人
〖-ZW/正文〗
