〖ZQ/总期〗19584〖-ZQ/总期〗
〖RQ/日期〗20110824〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗4〖-TH/条号〗
〖BT/标题〗第26届世界大学生运动会奖牌榜〖-BT/标题〗
〖FL/分类〗G811.22〖-FL/分类〗
〖BM/版名〗体育新闻〖-BM/版名〗
〖TC/体裁〗其它体裁〖-TC/体裁〗
〖ZW/正文〗
    代表团 金牌 银牌 铜牌 奖牌
    1中国 75 39 31 145
    2俄罗斯 42 45 45 132
    3韩国 28 21 30 79
    4日本 23 26 38 87
    5美国 17 22 11 50
    6意大利 12 5 13 30
    7乌克兰 11 19 14 44
    8中华台北 7 9 16 32
    9土耳其 7 7 8 22
    10泰国 7 2 9 18
    11牙买加 6 2 1 9
    12波兰 5 7 8 20
    13立陶宛 5 5 3 13
    14澳大利亚 5 3 8 16
    15新西兰 5 3 4 12
    16匈牙利 5 2 4 11
    17法国 4 12 17 33
    18罗马尼亚 3 4 9 16
    19白俄罗斯 3 4 6 13
    20印度尼西亚 3 1 2 6
    21德国 2 6 6 14
    22西班牙 2 5 5 12
    23巴西 2 4 12 18
    24南非 2 2 3 7
    25朝鲜 2 2 1 5
    26葡萄牙 2 2 0 4
    26塞尔维亚 2 2 0 4
    28捷克 2 1 4 7
    29英国 2 1 2 5
    30印度 2 0 1 3
〖-ZW/正文〗
