〖ZQ/总期〗7650〖-ZQ/总期〗
〖RQ/日期〗19781221〖-RQ/日期〗
〖BH/版号〗03〖-BH/版号〗
〖TH/条号〗5〖-TH/条号〗
〖BT/标题〗各国和地区在亚运会上获奖牌统计〖-BT/标题〗
〖LM/栏目〗第8届亚运会〖-LM/栏目〗
〖GJ/关键〗亚运会/八届〖-GJ/关键〗
〖TC/体裁〗新华社通讯〖-TC/体裁〗
〖ZW/正文〗
    据新华社曼谷十二月二十日电 第八届亚洲运动会经过十二天的比赛后二十日晚间在泰国首都曼谷闭幕。各国和地区在运动会上获得奖牌情况如下：
    国家或地区     金牌  银牌  铜牌
    1、日本           74   64   51
    2、中国           56   60   51
    3、朝鲜民主主义人民共和国  21   15   22
    4、南朝鲜          20   22   30
    5、泰国           11   12   19
    6、印度           11   11   5
    7、印度尼西亚        7    8   18
    8、巴基斯坦         4    4   11
    9、菲律宾          4    4   6
    10、伊拉克        3    7   9
    11、黎巴嫩        3  2  1
    12、新加坡  2  1 4
    13、马来西亚  2  1  3
    14、叙利亚 2  0  1
    15、蒙古 1  3 5
    16、缅甸 0  3  4
    17、香港  0 2  3
    18、斯里兰卡 0  0  2
    19、科威特  0  0  1
〖-ZW/正文〗
