〖ZQ/总期〗14088〖-ZQ/总期〗
〖RQ/日期〗19960806〖-RQ/日期〗
〖BH/版号〗05〖-BH/版号〗
〖TH/条号〗10〖-TH/条号〗
〖BT/标题〗图片〖-BT/标题〗
〖LM/栏目〗96奥运风谁领风骚〖-LM/栏目〗
〖GJ/关键〗26届奥运会〖-GJ/关键〗
〖TC/体裁〗公文〖-TC/体裁〗
〖ZW/正文〗
    国家地区 金牌  银牌  铜牌
    美国   44   32  25
    俄罗斯  26   21   16
    德国   20   18  27
    中国   16   22   12
    法国   15   7  15
    意大利  13   10   12
    澳大利亚  9   9   23
    古巴    9   8   8
    乌克兰   9   2   12
    韩国    7   15  5
    波兰    7   5   5
    匈牙利   7   4  10
    西班牙   5   6   6
    罗马尼亚  4   7   9
    荷兰    4   5  10
    希腊    4   4   0
    捷克    4   3   4
    瑞士    4   3   0
    丹麦    4   1   1
    土耳其   4   1   1
    加拿大   3   11   8
    保加利亚  3   7   5
    日本    3   6   5
    哈萨克斯坦 3   4   4
    巴西    3   3   9
    新西兰   3   2   1
    南非    3   1   1
    爱尔兰   3   0   1
    瑞典    2   4   2
    挪威    2   2   3
    比利时   2   2   2
    尼日利亚  2   1   3
    朝鲜    2   1   2
    阿尔及利亚 2   0   1
    埃塞俄比亚 2   0   1
    英国    1   8   6
    白俄罗斯  1   6   8
    肯尼亚   1   4   3
    牙买加   1   3   2
    芬兰    1   2   1
    印度尼西亚 1   1   2
    南斯拉夫  1   1   2
    伊朗    1   1   1
    斯洛伐克  1   1   1
    亚美尼亚  1   1   0
    克罗地亚  1   1   0
    葡萄牙   1   0   1
    泰国    1   0   1
    布隆迪   1   0   0
    哥斯达黎加 1   0   0
    厄瓜多尔  1   0   0
    香港   1   0   0
    叙利亚   1   0   0
    阿根廷   0   2   1
    纳米比亚  0   2   0
    斯洛文尼亚 0   2   0
    奥地利  0   1   2
    马来西亚 0   1   1
    摩尔达瓦 0   1   1
    乌兹别克 0   1   1
    阿塞拜疆 0   1   0
    巴哈马  0   1   0
    中国台北 0   1   0
    拉脱维亚 0   1   0
    菲律宾  0   1   0
    汤加   0   1   0
    赞比亚  0   1   0
    格鲁吉亚 0   0   2
    摩洛哥  0   0   2
    特立尼达和多巴哥
    0   0   2
    印度    0   0   1
    以色列   0   0   1
    立陶宛   0   0   1
    墨西哥   0   0   1
    蒙古    0   0   1
    莫桑比克  0   0   1
    波多黎各  0   0   1
    突尼斯   0   0   1
    乌干达   0   0   1
〖-ZW/正文〗
