〖ZQ/总期〗10921〖-ZQ/总期〗
〖RQ/日期〗19871205〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗19〖-TH/条号〗
〖BT/标题〗第六届全运会各代表团总分奖牌总计〖-BT/标题〗
〖LM/栏目〗第六届全运会专辑〖-LM/栏目〗
〖TC/体裁〗公文〖-TC/体裁〗
〖ZW/正文〗
    单位 总分 金 银 铜
    广东 1234.5 54 35 36
    上海 860 32 29 25
    辽宁 747.5 32.5 30 19
    北京 683 17 23 25
    山东 529 12 17 19
    四川  509  17  19 14
    湖北  488 15 13 20
    江苏 463 9 15 16
    浙江 442.5  17.5 13 8
    河北  426 11 12 15
    解放军 418 13 11 15
    湖南 342  8  15 10
    河南 331 11 12 12
    安徽  320 7 12 16
    广西 298  3  11 17
    云南 293  8 7  11
    黑龙江 290  13  8  7
    福建 285  11  10 10
    天津 269  7  9  7
    内蒙古 258  14  10 4
    吉林 196  5  5  7
    陕西  192·5  8  5  3
    山西 166  6  5  6
    江西 153  3  4 6
    甘肃 106 4 4 1
    新疆  90   0  4 4
    贵州 70 1 3 3
    青海 50  1 0  3
    火车头 46  1 0  2
    银鹰 28 0  0  3
    宁夏 23 1 0 0
    前卫 21  0  1 1
    石油 17  0  1 0
    西藏 13  1 0 1
    煤矿  9 0  1 1
    （本报广州12月5日0时30分电）？
〖-ZW/正文〗
