〖ZQ/总期〗19596〖-ZQ/总期〗
〖RQ/日期〗20110905〖-RQ/日期〗
〖BH/版号〗07〖-BH/版号〗
〖TH/条号〗5〖-TH/条号〗
〖BT/标题〗大邱田径世锦赛奖牌榜〖-BT/标题〗
〖FL/分类〗G812.22〖-FL/分类〗
〖BM/版名〗体育新闻〖-BM/版名〗
〖TC/体裁〗其他〖-TC/体裁〗
〖ZW/正文〗
    排名 国家/地区 金牌 银牌 铜牌 总数
    01 美国 12 8 6 26
    02 俄罗斯 9 4 6 19
    03 肯尼亚 7 6 4 17
    04 牙买加 4 4 1 9
    05 德国 3 3 1 7
    06 英国 2 4 1 7
    07 中国 1 2 1 4
    08 澳大利亚 1 1 1 3
    09 埃塞俄比亚 1 0 4 5
    10 乌克兰 1 0 1 2
    11 格林纳达 1 0 0 1
    11 日本 1 0 0 1
    11 新西兰 1 0 0 1
    11 博茨瓦纳 1 0 0 1
    11 巴西 1 0 0 1
    11 波兰 1 0 0 1
    17 南非 0 2 2 4
    18 法国 0 1 3 4
    18 古巴 0 1 3 4
    20 白俄罗斯 0 1 1 2
〖-ZW/正文〗
