〖ZQ/总期〗15862〖-ZQ/总期〗
〖RQ/日期〗20010615〖-RQ/日期〗
〖BH/版号〗02〖-BH/版号〗
〖TH/条号〗3〖-TH/条号〗
〖BT/标题〗党的历次代表大会一览表〖-BT/标题〗
〖FL/分类〗D26〖-FL/分类〗
〖LM/栏目〗纪念建党80周年专版/峥嵘岁月征途漫漫党指引〖-LM/栏目〗
〖BM/版名〗纪念建党80周年专版〖-BM/版名〗
〖GJ/关键〗纪念建党八十周年；党的知识教育〖-GJ/关键〗
〖TC/体裁〗通讯〖-TC/体裁〗
〖ZW/正文〗
    1
    会次 召开时间 召开地点
    一大 1921.7.23 上海、嘉兴
    二大 1922.7.16 上海
    三大 1923.6.12 广州
    四大 1925.1.11 上海
    五大 1927.4.27 武汉
    六大 1928.6.18 莫斯科
    七大 1945.4.23 延安
    八大 1956.9.15 北京
    九大 1969.4.1 北京
    十大 1973.8.24 北京
    十一大 1977.8.12 北京
    十二大 1982.9.1 北京
    十三大 1987.10.25 北京
    十四大 1992.10.12 北京
    十五大 1997.9.12 北京
〖-ZW/正文〗
