〖ZQ/总期〗15941〖-ZQ/总期〗
〖RQ/日期〗20010902〖-RQ/日期〗
〖BH/版号〗03〖-BH/版号〗
〖TH/条号〗5〖-TH/条号〗
〖BT/标题〗谁领风骚〖-BT/标题〗
〖FL/分类〗G811.22〖-FL/分类〗
〖BM/版名〗大运专刊〖-BM/版名〗
〖TC/体裁〗消息〖-TC/体裁〗
〖ZW/正文〗
    1
    国家（地区） 金牌 银牌 铜牌 总计
    中国 54 25 24 103
    美国 21 13 13 47
    俄罗斯 14 19 20 53
    日本 14 14 25 53
    乌克兰 13 14 7 34
    意大利 8 8 6 22
    古巴 6 4 2 12
    法国 5 2 16 23
    英国 4 2 4 10
    韩国 3 10 14 27
    罗马尼亚 3 4 0 7
    波兰 3 3 2 8
    澳大利亚 3 1 1 5
    巴西 2 3 2 7
    西班牙 2 3 1 6
    朝鲜 2 1 8 11
    德国 1 4 2 7
    捷克 1 4 7 12
    荷兰 1 3 3 7
    墨西哥 1 3 0 4
    乌兹别克斯坦 1 2 2 5
    以色列 1 1 0 2
    拉脱维亚 1 1 0 2
    爱沙尼亚 1 0 2 3
    南斯拉夫 1 0 2 3
    斯洛文尼亚 1 0 1 2
    南非 1 0 1 2
    肯尼亚 1 0 0 1
    土耳其 1 0 0 1
    摩洛哥 1 0 0 1
    白俄罗斯 0 6 11 17
    中国台北 0 3 5 8
    哈萨克斯坦 0 3 0 3
    比利时 0 2 0 2
    加拿大 0 2 0 2
    葡萄牙 0 2 0 2
    瑞士 0 1 6 7
    匈牙利 0 0 6 6
    奥地利 0 1 1 2
    格鲁吉亚 0 1 0 1
    阿塞拜疆 0 1 0 1
    纳米比亚 0 1 0 1
    爱尔兰 0 1 0 1
    博茨瓦纳 0 0 2 2
    埃及 0 0 1 1
    瑞典 0 0 1 1
    斯洛伐克 0 0 1 1
    塞浦路斯 0 0 1 1
    泰国 0 0 1 1
    克罗地亚 0 0 1 1
    合计 171 168 202 541
〖-ZW/正文〗
