〖ZQ/总期〗14955〖-ZQ/总期〗
〖RQ/日期〗19981221〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗5〖-TH/条号〗
〖BT/标题〗第十三届亚运会奖牌统计〖-BT/标题〗
〖BM/版名〗时事新闻〖-BM/版名〗
〖GJ/关键〗亚运会〖-GJ/关键〗
〖TC/体裁〗消息〖-TC/体裁〗
〖ZW/正文〗
    第十三届亚运会组委会今天公布了本届亚运会各国家和各地区代表队所获奖牌的最终统计。
    本届亚运会共设比赛项目32个大项377个小项，产生出378枚金牌、381枚银牌和467枚铜牌，具体分布情况如下：
    国家和地区 金牌 银牌 铜牌 总计
    中国 129 77 68 274
    韩国 65 47 52 164
    日本 52 61 68 181
    泰国 24 26 40 90
    哈萨克斯坦 24 24 30 78
    中国台北 19 17 41 77
    伊朗 10 11 13 34
    朝鲜 7 14 12 33
    印度 7 11 17 35
    乌兹别克斯坦 6 22 12 40
    印度尼西亚 6 10 11 27
    马来西亚 5 10 14 29
    中国香港 5 6 6 17
    科威特 4 6 4 14
    斯里兰卡 3 0 3 6
    巴基斯坦 2 4 9 15
    新加坡 2 3 9 14
    卡塔尔 2 3 3 8
    蒙古 2 2 10 14
    缅甸 1 6 4 11
    菲律宾 1 5 12 18
    越南 1 5 11 17
    土库曼斯坦 1 0 1 2
    吉尔吉斯斯坦 0 3 3 6
    约旦 0 3 2 5
    叙利亚 0 2 4 6
    尼泊尔 0 1 3 4
    阿联酋 0 1 1 2
    澳门 0 1 0 1
    孟加拉国 0 0 1 1
    文莱 0 0 1 1
    阿曼 0 0 1 1
    老挝 0 0 1 1
    （新华社曼谷12月20日电）
〖-ZW/正文〗
