〖ZQ/总期〗14150〖-ZQ/总期〗
〖RQ/日期〗19961007〖-RQ/日期〗
〖BH/版号〗05〖-BH/版号〗
〖TH/条号〗16〖-TH/条号〗
〖BT/标题〗全国足球甲A联赛第十九轮积分表〖-BT/标题〗
〖GJ/关键〗甲A积分表〖-GJ/关键〗
〖TC/体裁〗新华社通讯〖-TC/体裁〗
〖ZW/正文〗
    全国足球甲A联赛第十九轮积分表
    名次  队名        胜   平   积分
    1   大连万达      11   8   41
    2   上海申花       9   8   35
    3   八一         7  11   32
    4   广州太阳神      7   7   28
    5   济南泰山将军     7   6   27
    6   四川全兴       7   6   27
    7   北京国安       7   6   27
    8   广东宏远       4  10   22
    9   天津三星       5   7   22
    10   延边现代汽车     3   6   15
    11   深圳飞亚达      2   6   12
    12   广州松日       1   7  100
〖-ZW/正文〗
