〖ZQ/总期〗12464〖-ZQ/总期〗
〖RQ/日期〗19920225〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗4〖-TH/条号〗
〖BT/标题〗奖牌统计〖-BT/标题〗
〖LM/栏目〗冬奥会冰雪大战法兰西传真〖-LM/栏目〗
〖GJ/关键〗冬奥会/排行榜〖-GJ/关键〗
〖TC/体裁〗公文〖-TC/体裁〗
〖ZW/正文〗
    国家和地区 金牌 银牌 铜牌 总计
    德国 10 10 6 26
    独联体 9 6 8 23
    挪威 9 6 5 20
    奥地利 6 7 8 21
    美国 5 4 2 11
    意大利 4 6 4 14
    法国 3 5 1 9
    芬兰 3 1 3 7
    加拿大 2 3 2 7
    南朝鲜 2 1 1 4
    日本 1 2 4 7
    荷兰 1 1 2 4
    瑞典 1 0 3 4
    瑞士 1 0 2 3
    中国 0 3 0 3
    卢森堡 0 2 0 2
    新西兰 0 1 0 1
    捷克斯洛伐克 0 0 3 3
    西班牙 0 0 1 1
    朝鲜 0 0 1 1
〖-ZW/正文〗
