〖ZQ/总期〗17029〖-ZQ/总期〗
〖RQ/日期〗20040825〖-RQ/日期〗
〖BH/版号〗04〖-BH/版号〗
〖TH/条号〗12〖-TH/条号〗
〖BT/标题〗奥运奖牌榜〖-BT/标题〗
〖FL/分类〗G811.211〖-FL/分类〗
〖LM/栏目〗奥运专刊/聚焦爱琴海〖-LM/栏目〗
〖BM/版名〗奥运专版〖-BM/版名〗
〖TC/体裁〗通讯〖-TC/体裁〗
〖ZW/正文〗
    （比赛第十天统计）
    名次 国家和地区 金牌 银牌 铜牌
    1 美国 23 26 17
    2 中国 23 15 12
    3 日本 15 8 9
    4 澳大利亚 13 9 13
    5 法国 9 7 9
    6 德国 8 10 11
    7 意大利 8 6 7
    8 罗马尼亚 8 4 4
    9 乌克兰 8 2 5
    10 英国 7 8 7
    11 俄罗斯 6 16 19
    12 韩国 6 10 5
    13 希腊 5 2 2
    13 匈牙利 5 2 2
    15 荷兰 3 6 8
〖-ZW/正文〗
